,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,apache-pyiceberg,Java
5,archaius,Java
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,codec_compare,Python
25,concurrency-limits,Java
26,conductor,Java
27,conductor-community,Java
28,conductor-docs,Python
29,conductor-ui,JavaScript
30,consoleme,Python
31,curator,Java
32,denominator,Java
33,derand,Java
34,dgs,HTML
35,dgs-codegen,Kotlin
36,dgs-examples-java,Java
37,dgs-examples-java-2.7,Java
38,dgs-examples-java.latest,Java
39,dgs-examples-java16,Java
40,dgs-examples-kotlin,Kotlin
41,dgs-examples-kotlin-2.7,Kotlin
42,dgs-examples-webflux,Java
43,dgs-federation-example,Kotlin
44,dgs-framework,Kotlin
45,dgs-intellij-plugin,Kotlin
46,dial-reference,C
47,dispatch,Python
48,dispatch-docker,Shell
49,dyno,Java
50,dyno-queues,Java
51,dynomite,C
52,dynomite-manager,Java
53,e2nest,Python
54,eclipse-jifa,Java
55,eclipse-mat,
56,edda,Scala
57,edda-client,Java
58,element-server,JavaScript
59,ember-batch-request,JavaScript
60,ember-nf-graph,JavaScript
61,ember-nf-graph-examples,JavaScript
62,eslint-config-netflix,JavaScript
63,eslint-config-netflix-dea,JavaScript
64,eureka,Java
65,eureka-ui,JavaScript
66,EVCache,Java
67,fabricator,Java
68,falcor,JavaScript
69,falcor-datasource-chainer,JavaScript
70,falcor-express,JavaScript
71,falcor-express-demo,HTML
72,falcor-hapi,JavaScript
73,falcor-hapi-demo,HTML
74,falcor-http-datasource,JavaScript
75,falcor-json-graph,JavaScript
76,falcor-observable,JavaScript
77,falcor-path-syntax,JavaScript
78,falcor-path-utils,JavaScript
79,falcor-restify,JavaScript
80,falcor-restify-demo,HTML
81,falcor-router,JavaScript
82,falcor-router-demo,JavaScript
83,fast_jsonapi,Ruby
84,Fenzo,Java
85,Fido,C#
86,flamescope,Python
87,frigga,Java
88,genie,Java
89,glisten,Groovy
90,go-env,Go
91,go-expect,Go
92,go-iomux,Go
93,governator,Java
94,gradle-template,Java
95,hal-9001,Go
96,hollow,Java
97,hollow-reference-implementation,Java
98,hubcommander,Python
99,Hystrix,Java
100,iceberg,Java
101,iep,Java
102,iep-shadow,
103,image_compression_comparison,Python
104,inviso,JavaScript
105,karyon,Java
106,lemur,Python
107,lemur-docker,Python
108,Lipstick,JavaScript
109,mantis,Java
110,mantis-api,Java
111,mantis-cli,JavaScript
112,mantis-connectors,Java
113,mantis-control-plane,Java
114,mantis-examples,Java
115,mantis-gradle-plugin,Groovy
116,mantis-helm,
117,mantis-mql,Clojure
118,mantis-rxcontrol,Java
119,mantis-rxnetty,
120,mantis-source-jobs,Java
121,mantis-ui,TypeScript
122,matchcut,Jupyter Notebook
123,metacat,Java
124,metaflow,Python
125,metaflow-docs,JavaScript
126,metaflow-extensions-template,Python
127,metaflow-nflx-extensions,Python
128,metaflow-service,Python
129,metaflow-tools,HCL
130,metaflow-ui,TypeScript
131,metrics-client-go,Go
132,msl,C++
133,ndbench,HTML
134,nerror,JavaScript
135,netflix-commons,Java
136,netflix-graph,Java
137,netflix.github.com,HTML
138,netflixoss-npm-build-infrastructure,
139,nf-data-explorer,TypeScript
140,nflx-geofeed,
141,nflxprofile,Python
142,NfWebCrypto,C++
143,Nicobar,Java
144,ocelli,Java
145,octodns,
146,octodns-ns1,Python
147,octodns-route53,
148,octodns-ultra,Python
149,osstracker,Scala
150,p2plab,Go
151,photon,Java
152,PigPen,Clojure
153,pollyjs,JavaScript
154,polynote,HTML
155,Prana,Java
156,Priam,Java
157,probnik,TypeScript
158,pygenie,Python
159,pytheas,JavaScript
160,q,Java
161,Raigad,Java
162,ReactiveLab,Java
163,reactivesocket-examples,Java
164,read_bbrlog,C
165,recipes-rss,Java
166,rend,Go
167,rend-http,Go
168,rend-lmdb,Go
169,repokid,Python
170,restful-jsonapi,Ruby
171,ribbon,Java
172,runtime-health,Java
173,rx-aws-java-sdk,Java
174,s3mper,Java
175,security-bulletins,
176,security_monkey,Python
177,servo,Java
178,sherlock,R
179,signal-wrapper,Go
180,SimianArmy,Java
181,sleepy-puppy-docker,Dockerfile
182,spark,Scala
183,spectator,Java
184,spectator-cpp,C++
185,spectator-go,Go
186,spectator-js,JavaScript
187,spectator-py,Python
188,spectator-rb,Ruby
189,staash,Java
190,sureal,Python
191,suro,Java
192,Surus,Java
193,taskintrospection,C
194,tcplog_dumper,C
195,techreports,
196,titus,
197,titus-api-definitions,Makefile
198,titus-control-plane,Java
199,titus-executor,Go
200,titus-kube-common,Go
201,tslint-config-netflix,JavaScript
202,Turbine,Java
203,unleash,JavaScript
204,user2020-metaflow-tutorial,R
205,vector,JavaScript
206,vectorflow,D
207,virtual-kubelet,Go
208,vizceral,JavaScript
209,vizceral-component,JavaScript
210,vizceral-example,JavaScript
211,vizceral-react,JavaScript
212,vmaf,Python
213,vmaf_resource,
214,vp9-dash,
215,webpack-parse-query,JavaScript
216,weep,Go
217,Workflowable,Ruby
218,x-element,JavaScript
219,x-test,JavaScript
220,yetch,JavaScript
221,zeno,Java
222,zuul,Java
